year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,18573188486.9526,1807.34978407022,,88202.351,24.6127755794234,35.375918598078,33.872244205766,1.74109666478236,1.09212263493946,10276477,22.4,8.6,1698085,2.2669115425423,70.8170731707317,,,,,
1961,19648336879.8298,1874.30476770293,,90589.568,23.6504135829343,35.9164127122333,34.2838484980409,1.74140182847192,1.21669314531432,10483000,22.9,8.5,,1.9897400460104,70.9731707317073,,,,,
1962,19888005375.742,1851.42481621132,1870,94912.961,23.9764235343648,33.8911693505947,35.690979896853,1.6314072202926,1.2406431433593,10742000,22.1,8.7,,2.4406394012832,70.9424390243903,,,,,
1963,21501847911.3003,1963.63907865756,1970,101029.517,24.5131160572337,33.8036565977742,35.5822734499205,1.62957074721781,1.57816560113222,10950000,21.5,8.7,,1.91781647792421,70.9117073170732,,,,,
1964,23758539590.0997,2127.56690159395,2100,108979.573,24.4197018305341,31.6852236270995,36.2709945272693,1.61351198339309,1.57271193993793,11167000,20.5,9,,1.96235442011452,70.8809756097561,,,,,
1965,25931235300.7056,2277.0666755098,2270,120966.996,24.2408002858164,30.939621293319,36.8881743479814,1.56305823508396,1.80835267053134,11388000,19.6,8.8,2054727,1.95971689521361,70.850243902439,,,,,
1966,27261731436.891,2339.86193776423,2340,120332.605,23.8209569542103,29.4374892814269,38.6468873263591,1.43200137197736,1.47021660855134,11651000,19.8,8.9,,2.2831843822013,70.819512195122,,,,,
1967,30389741292.418,2575.62007733011,2530,129265.417,23.8535833130428,30.0381462543625,38.5682980277575,1.32294456618781,1.5044074397264,11799000,19.4,8.7,,1.26227688799781,70.8692682926829,,,,,
1968,32657632433.6432,2719.42979712242,2730,134622.904,24.0820402519588,29.5897987402059,38.0934091258258,1.22906744507605,1.44745930183689,12009000,20.1,9.1,,1.76415865607642,70.9190243902439,,,,,
1969,36620002239.8925,2986.21888933316,2970,142257.598,24.6719929634245,28.498130909624,37.938869750055,1.3706662757458,1.54794515629572,12263000,20.4,8.7,,2.09302301013426,70.9687804878049,,,,,
1970,41261059469.1455,3299.03729664552,3270,147618.752,22.9329944220857,31.0598037139024,38.5935183223893,3.17729294640966,1.50403712348847,12507000,20.6,9,2456522,1.97018887868806,71.0185365853659,,,80.775993347168,15.7546195983887,
1971,45138313360.9587,3489.08660129541,3470,152774.554,23.2770647321429,31.3127790178571,37.7580915178571,3.29938616071428,1.9296491018688,12937000,21.4,8.6,,3.38029353689954,71.0682926829268,73.5473480224609,96.2091217041016,,17.0270900726318,
1972,51954439252.3364,3942.81241954439,3880,157486.649,23.1386025200458,29.4185027963075,39.9568762212789,3.62509264874335,1.87181149807773,13177000,20.1,8.3,,1.83814626273502,71.4575609756098,,,,18.3087596893311,
1973,63721973094.1704,4762.47930449704,4640,170992.21,24.1377124017246,28.9880801420238,38.4986051230028,3.37306619325387,1.71997139158968,13380000,18.5,8.3,,1.52881691369673,71.8468292682927,,94.8293609619141,,19.508150100708,
1974,88809137803.9794,6471.55416483126,5940,172356.334,22.6975018837304,26.4127977743001,44.5487741262389,4.93827160493827,1.93076965109408,13723000,17.8,8.4,,2.53122025874137,72.2360975609756,73.5842971801758,94.1996383666992,,21.7237491607666,
1975,97147343984.7057,6992.53897536211,7210,175883.988,22.6859849540262,25.4444134856506,45.4332683198663,5.07662301476734,2.09709487648912,13893000,16.7,7.8,2659453,1.23118588792285,72.6253658536586,75.504638671875,96.9488983154297,,23.1818809509277,
1976,104894743476.617,7474.86235848476,7860,174244.839,23.1031449307236,24.5326588959754,46.0963272487354,4.90433252694084,2.10286803623699,14033000,16.2,8,,1.0026582602274,73.0146341463415,81.3726501464844,97.9751663208008,,23.9758396148682,
1977,110174351915.577,7763.13077195441,8070,187787.07,22.8370169976009,23.4291256189066,47.6545352457761,4.77259966311061,1.71519701092152,14192000,15.9,7.6,,1.1266726798225,73.3443902439024,80.132080078125,99.9718017578125,,24.340030670166,
1978,118309271373.787,8239.95482475188,8460,202015.03,24.7056360877074,22.7118111884452,46.5278141190015,4.66795750693391,1.81006721289916,14358000,15.6,7.5,,1.16288525870675,73.6741463414634,75.950309753418,99.9806289672852,,24.6851005554199,6.01040983200073
1979,134679086674.997,9279.25359480482,9580,205069.641,24.4857635018746,23.0266491032526,46.5244705643936,4.54959975681427,1.96420949863599,14514000,15.3,7.3,,1.08064227016539,74.0039024390244,67.0581512451172,99.9785766601563,,24.9092693328857,5.89838981628418
1980,149738161559.889,10191.8160604335,10810,220746.066,23.9769759117732,21.8341878688207,48.858469575312,3.92763857985876,1.62704567438289,14692000,15.3,7.3,2896444,1.21894271014757,74.3336585365854,64.8118286132813,99.9541091918945,,25.0611801147461,5.65545988082886
1981,176599326599.327,11830.8653178352,11850,230360.94,24.3140280657761,20.2198968028162,50.4123065052804,3.60225683560785,1.76252455587166,14927000,15.7,7.3,,1.58685256936818,74.6634146341463,64.2821426391602,99.8078765869141,,25.4904003143311,
1982,193721725697.893,12763.3236063969,12060,234119.615,24.1330899901727,18.9152510646263,51.8695306284805,3.53783518180542,1.64053933585427,15178000,15.8,7.5,,1.66753573306185,74.9048780487805,65.5688018798828,98.7067184448242,,25.54660987854,5.48108005523682
1983,176986429574.169,11515.8064658839,11570,225003.453,25.2849638219843,17.4992566161166,52.106254336406,3.61780156606205,1.543305553382,15369000,15.8,7.3,,1.25054826434538,75.1463414634146,68.2190170288086,97.7248687744141,,26.2669105529785,5.37336015701294
