year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,,,,,9.67054945461953,33.5617326246782,33.6191410952055,17.4040260004815,0.727909595513767,72814900,17.3,12,,0.782668663977047,69.3100243902439,,,,,
1961,,,,,9.99286746282851,32.5902083066625,33.8466321622561,18.295872272719,0.704903187718086,73377632,17.9,11.6,,0.769854344284138,69.508,,,,,
1962,,,,,9.99121764736271,30.6004718362005,33.2317335675294,20.059926641525,0.64018951466544,74025784,17.8,11.9,,0.879431691508147,69.6915365853659,,,,,
1963,,,,,9.88593155893536,28.4687761809628,32.846233163627,21.8421731004705,0.573368195545849,74714353,18.1,12,,0.925875063469895,69.8596097560976,,,,,
1964,,,,,10.0350888284757,29.8176013150408,34.0219384206866,20.6407662641462,0.555567442904773,75318337,18,11.6,,0.805140883333687,70.0137073170732,,,,,
1965,,,,,9.98462696868921,30.0181966493066,33.9194955135847,20.5512329798582,0.69581368033075,75963695,17.4,12,,0.85319043680184,70.1518292682927,,,,,
1966,,,,,10.6426151978015,29.035917428261,33.71413050425,21.2996101489103,0.780971718986236,76600311,17.2,11.9,,0.834560800634988,70.2714146341463,,,,,
1967,,,,,10.5525201254405,29.2279590055284,33.6959684458957,21.4024764799069,0.890132466992316,76951336,16.5,11.9,,0.457208526697556,70.374,,,,,
1968,,,,,10.4016273094335,28.2102655083813,34.6766793099229,21.4731432766426,0.91092464136689,77294314,15.7,12.6,,0.444717326246995,70.4650975609756,,,,,
1969,,,,,10.0805827836922,27.3475185284149,35.1118736551957,22.7235012024133,1.11795862404394,77909682,14.7,12.7,,0.792983738181533,70.5506829268293,,,,,
1970,215021806498.156,2750.71974235504,,,9.58976657025298,25.6772721717521,37.4078298773781,24.8105674827881,1.06020102307988,78169289,13.4,12.5,,0.332661392813347,70.6397804878049,,,,,
1971,249039217364.635,3180.05592702963,,,10.1994500046003,24.6393849865568,39.0282051544179,23.4995246322289,0.910363487501236,78312842,12.9,12.3,,0.183475313574861,70.7428780487805,,,,,
1972,298667219346.133,3795.56608060014,3610,,10.3602164493521,24.1688464687207,39.4540843832991,23.0177113076816,1.14406782073761,78688452,11.5,12.3,,0.478481045657976,70.867,,,,,
1973,396866742553.97,5027.66030875905,4680,,10.1384678254754,24.7369871606018,39.0028795985668,23.0263345466295,1.33402561456699,78936666,10.3,12.2,,0.314942451198579,71.0166829268293,,,,,
1974,443618642959.716,5617.74172094103,5800,,9.96832204298455,24.9495589453677,40.6452556167454,21.1735464691262,1.60951810790743,78967433,10.2,12.1,,0.0389692231983959,71.1954146341463,,,,,
1975,488780155338.262,6212.76312670789,6730,,10.8860239354872,24.0402691458216,39.8890543941651,21.5460475627921,2.47424815386543,78673554,9.9,12.6,,-0.372846359360899,71.4017317073171,,,,,
1976,517787921003.573,6609.75339228261,7140,,10.4435852099404,22.5892319350263,41.3119086016282,21.8742106592574,2.62947907934375,78336950,10.2,12.3,,-0.428766874960255,71.6341463414634,,,,,
1977,598226205424.071,7653.88471144611,7680,,11.189273451991,22.1861557283239,41.0503571569517,21.5685307233908,3.61826477370533,78159814,10.3,11.9,,-0.226376662518719,71.8836829268293,,,,,
1978,737668356280.428,9446.16678520783,8880,,11.6523590869768,21.7684358630655,41.185865442204,21.370105239141,3.71617703659062,78091820,10.4,12.2,,-0.0870314153537852,72.1432926829268,,,,,
1979,878010536975.776,11238.3406747631,11070,,11.484298242422,21.5075870601506,41.3731305265456,21.4511844547142,4.14075223926212,78126350,10.5,12.1,,0.0442074062989572,72.4085365853659,,,,,
1980,946695355820.96,12092.3818542945,13030,,12.2533075154764,20.3172544044564,43.1536575827237,19.591365643809,4.5174327460812,78288576,11.1,12.2,,0.207430406185115,72.6779024390244,,,,,
1981,797443405711.813,10170.4462754224,12560,,12.2384710768201,20.2029247938276,43.9230814651524,18.4846576259177,5.45563674659055,78407907,11,12.2,,0.152308489359723,72.9503902439024,,,,,
1982,773638200773.757,9876.22823170597,11140,,12.788001887528,19.0609548429454,44.7980139923268,18.0228144683121,6.33866617234654,78333366,11,12,,-0.0951134365477742,73.227,,,,,
1983,767768378016.086,9827.02240932529,10040,,12.9804688700212,19.8322391667264,44.5938610596176,17.2031667673778,6.59939850593901,78128282,10.6,12,,-0.262152572305171,73.5051951219512,,,,,
1984,722367608343.069,9277.932299307,9890,,13.0932420357225,19.2126585074447,44.1240549793677,21.6584170841658,8.33385247264555,77858685,10.4,11.8,,-0.345666402296961,73.7829268292683,,,,,
1985,729763282952.432,9393.89169050237,9850,,12.9994624619244,19.3424117541659,42.6337374823309,23.0713332935157,10.5571291037669,77684873,10.5,12,,-0.223489901582361,74.0546341463415,,,,,
1986,1042300769791.95,13410.8971003707,11260,,13.5516152731172,17.8236006592141,42.7079403530369,23.9253023052638,10.0077269243148,77720436,10.9,11.9,,0.0457680639736539,74.3137317073171,,,,,
