year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,44307342950.4,478.995340162869,,232781.16,14.7344128921224,42.3413909098021,32.6683877024173,7.83462411014629,6.22361951064017,92500572,17.3,7.6,692651,0.889609025572938,67.6660975609756,,,,,
1961,53508617739.3778,563.586759838827,,283118.069,14.3459619034231,42.6829268292683,33.0428059323821,7.36627539186055,6.39675944191993,94943000,17,7.4,,2.60618832454646,68.31,,,,,
1962,60723018683.7333,633.640315173776,610,293220.654,14.8438793417437,40.4324360120526,34.6147478560313,7.12890301645641,5.57886632620861,95832000,17.1,7.5,,0.931994690052148,68.5948780487805,,,,,
1963,69498131797.3333,717.866915230894,690,325222.563,14.5243757431629,41.1563614744352,34.5659928656362,6.52794292508918,5.39095650236968,96812000,17.4,7,,1.01742951123838,69.6580487804878,,,,,
1964,81749006381.5111,835.657252484116,800,359318.329,14.5863223338116,40.7566820766247,34.5820713109092,5.75482225410489,4.79633047816849,97826000,17.8,6.9,,1.04194368386186,70.1324390243903,,,,,
1965,90950278257.7778,919.776688184802,890,386919.838,14.3216776175012,39.4028648390101,35.0753971250913,5.95121214409788,4.85897607783061,98883000,18.7,7.1,712854,1.07469426749312,70.2019512195122,,,,,
1966,105628070343.111,1058.50356090902,1030,419743.155,13.6500088292425,40.6939784566484,34.4075578315381,5.14303372770616,4.73606343134976,99790000,13.8,6.8,,0.913064484125785,70.9865853658537,,,,,
1967,123781880217.6,1228.9092104006,1200,489881.864,13.2140632961558,41.8105644567741,34.7109777500991,4.23106682519013,3.4919683413683,100725000,19.4,6.7,,0.932605318118986,71.2765853658537,,,,,
1968,146601072685.511,1450.61965234374,1430,562565.471,13.541414071431,41.1559912703087,34.9291578619185,3.55076731215575,3.35744047548252,101061000,18.7,6.8,,0.333026384920996,71.6112195121951,,,,,
1969,172204199480.889,1669.09819990781,1660,653958.112,13.279866838163,41.882424150715,35.1184081107664,2.99614133313157,2.98992249634878,103172000,18.5,6.8,,2.06732034780429,71.8387804878049,,,,,
1970,212609187920.833,2037.55990148865,1820,768823.22,13.3070301291248,35.7148769451495,38.0007725416621,10.1065003862708,2.99519325542801,104345000,18.7,6.9,725139,1.130521830213,71.950243902439,6051222791,,,,
1971,240151807459.955,2272.07780220778,2110,797543.164,13.8051847707351,34.9186049609677,37.7201396104761,10.2549756214531,3.4860021343897,105697000,19.1,6.5,,1.28737935528027,72.8829268292683,6453000000,3.65630006790161,,,
1972,318031297492.682,2967.04199623728,2710,853373.239,13.7045022194039,34.9410272669626,37.6207989854153,10.1953075459734,3.42609324208151,107188000,19.2,6.4,,1.40077918128147,73.5065853658537,9193000000,4.01131010055542,,,
1973,432082670451.087,3997.84112039422,3620,915748.909,13.1873641985626,33.4269318624993,39.6467769792189,10.2189537021561,2.65439977805569,108079000,19.4,6.6,,0.82781391311029,73.7575609756097,12470000000,4.04297018051147,,,
1974,479625998614.775,4353.82435517488,4410,915873.587,13.5848886179137,33.4518849710395,39.3455949598618,10.1062448486491,3.82755884511552,110162000,18.4,6.4,,1.90895684623901,74.3939024390244,13833000000,4.04003000259399,,,
1975,521541905671.903,4659.12011498931,5120,870072.757,14.7784121005238,31.68854099229,39.6044964981461,10.3454770172444,4.52595141780234,111940000,17,6.2,770342,1.60110037973093,75.0573170731707,17646000000,4.66899013519287,,,
1976,586161859001.02,5197.80669676619,5380,908902.62,15.0684306048603,31.1733080689899,39.5561998470442,10.5630828586757,5.00643750962738,112771000,16.2,6.2,,0.739620034829887,75.4568292682927,20988000000,4.85082006454468,,,
1977,721411786537.187,6335.78762668458,5910,935213.345,15.3538717735221,28.9691923397169,41.646405772967,10.2203719122953,4.47730054732977,113863000,15.4,6,,0.963675751116431,75.8982926829268,26566000000,4.84027004241943,,,
1978,1013612173519.79,8821.84349179091,7410,903886.164,16.5199812361784,27.2008399043939,41.4892666473072,10.5870395603905,6.60549438121146,114898000,14.8,6,,0.904880694015673,76.0382926829268,36360000000,4.89441013336182,,,
1979,1055012119528.16,9105.13609673044,9400,955620.2,16.9516833970942,27.642808096001,41.0129810679136,10.1962964173996,7.38910908608402,115870000,14.1,5.9,,0.842409474613765,76.3375609756098,37800000000,5.05744981765747,,,
1980,1105385973763.87,9465.3797140302,10800,947571.135,18.0917688427197,27.6823368534755,39.8871562690323,10.0490674879055,8.67592715355022,116782000,13.5,6.1,802422,0.784007592001171,76.0917073170732,38500000000,5.0687198638916,,,
1981,1218988935129.81,10361.3230580189,11090,929606.502,18.1943870014771,26.4791728212703,40.1098966026588,10.8738552437223,9.25547825559675,117648000,13,6.1,,0.73881665248838,76.4143902439025,43560000000,5.06440019607544,,,
1982,1134518001884.56,9578.11380327871,10500,900200.829,18.1136263843489,27.9540908425623,39.3447821632434,11.9859003756647,10.344653208411,118449000,12.8,6,,0.678537273453957,76.9229268292683,40680000000,5.04606008529663,,,
1983,1243323592058.83,10425.4068209429,10180,883838.675,18.4810249206849,26.6983119808191,39.6587634109128,12.5015136470417,11.3646136681738,119259000,12.7,6.2,,0.681511043031246,76.9614634146342,43050000000,4.82426977157593,,,
1984,1318381627003.76,10984.8658284904,10450,940130.792,17.7578212258989,26.3027855184629,40.5699651387118,12.5545765312454,11.6829700986475,120018000,12.5,6.2,,0.634413291445238,77.3653658536585,63454487400,,,,
1985,1398892744820.69,11584.6493269017,11490,915396.877,18.3957960385748,26.7078593289831,39.6789282208235,12.4490385170642,13.7777003974725,120754000,11.9,6.2,850775,0.611368674484341,77.650487804878,60630000000,,,,
1986,2078953333673.55,17111.8537325384,13820,915334.538,19.0364005912786,25.7356337767923,39.47477827051,12.8626201034738,14.1702919968152,121492000,11.4,6.2,,0.609299871340331,78.0646341463415,87360000000,,,,
1987,2532808573157.03,20745.2520919399,18040,905734.332,19.6161043314544,25.3125466380429,39.3401219190191,12.6534032856142,15.2223464594452,122091000,11.1,6.7,,0.491825133481026,78.4836585365854,106260000000,5.596519947052,,,
1988,3071683013178.91,25051.8543154389,24730,989081.575,19.21245382135,24.6684746631361,40.0158021738666,13.0026265775481,13.9570198648743,122613000,10.8,6.5,,0.426638544354565,78.3992682926829,125870000000,5.55604982376099,,,
1989,3054914166263.18,24813.2993783357,26960,1025549.89,19.9906668049362,24.5037851291092,40.3100694804522,12.2202634035051,13.7523405743559,123116000,10.2,6.4,,0.409394660410327,78.8180487804878,122800000000,5.3671498298645,,,
1990,3132817652848.04,25359.34702031,27850,1096179.977,19.1946953680569,25.8379780895637,42.6196425139343,11.731693253892,13.8841224909225,123537000,10,6.7,1075626,0.341370596619248,78.8368292682927,129000066960,,,,
1991,3584420077100.84,28925.0415756881,28540,1099381.268,20.3267378910554,24.7544674938916,42.6464810999856,11.7002826618119,14.5438735506875,123921000,9.9,6.7,,0.310355945838531,79.1007317073171,146962101600,,,,
1992,3908809463463.86,31464.549046228,30510,1123847.492,20.7114399544678,23.7023335230507,42.9700246632518,12.0992221589831,14.565444534833,124229000,9.8,6.9,,0.248237080928634,79.1539024390244,140398483650,,,,
1993,4454143876947.21,35765.9140886748,33540,1109887.223,21.215655532399,23.5530869390643,41.8433681956368,12.9184910422363,16.1164174583212,124536000,9.6,7.1,,0.246819412580702,79.2936585365854,153340000000,3.42903995513916,,,
1994,4907039384469.68,39268.5668686204,36980,1173315.322,21.0964107340145,22.5655353767771,43.9641712548278,11.9776115996019,15.9318269478501,124961000,10,7.1,,0.340685788662686,79.6870731707317,178200000000,3.63566994667053,,,
1995,5449116304981.1,43440.3678678967,42110,1183447.243,21.6659294232349,22.6499237178735,42.6484793225786,12.6772769537703,16.9399632454151,125439000,9.54,7.41,1381097,0.381789601137122,79.5363414634147,192500000000,3.46572995185852,,,
1996,4833712542207.1,38436.9263119118,43150,1204690.174,21.9821893850162,22.5291787129243,42.5928900310526,12.5673698111861,17.1440945105102,125757000,9.6,7.1,,0.253188880298405,80.200243902439,160389413190,,,,
1997,4414732843544.43,35021.7190917159,40040,1200788.486,22.1953057708872,22.1899224806202,42.6392477749067,12.6695736434109,17.941619890019,126057000,9.5,7.3,,0.238271217591483,80.4241463414634,144755563650,,,,
1998,4032509760872.94,31902.7670955137,34450,1157829.581,22.6128200405231,20.1630134463069,43.294345183275,13.6203720758887,18.984019671365,126400000,9.6,7.5,,0.271729610231193,80.5014634146342,119260017260.888,,,,
1999,4562078822335.45,36026.5560750168,33780,1196516.431,22.1329236452764,19.9980462852779,43.8919773369092,13.6893238370957,17.7793579050095,126631000,9.3,7.8,,0.182586374140107,80.5707317073171,136997045878.68,,,,
2000,4887519660744.86,38532.0408752935,36230,1220527.947,21.7062142932249,20.6477165188742,44.4288668465879,12.9534541376047,17.73644936726,126843000,9.4,7.7,1686567,0.167275578113187,81.0760975609756,151496274461.448,,,,
2001,4303544259842.72,33846.4656414342,36770,1203377.388,22.247669914932,20.3367348743434,44.0726526714182,13.0785419945882,17.862720284707,127149000,9.3,7.7,,0.240952587521069,81.4170731707317,132040066207.375,,,,
2002,4115116279069.77,32289.3505360726,34790,1220047.57,21.1802554910031,20.1723238044715,45.4142530781275,12.9816125195725,16.6045429795768,127445000,9.3,8.1,,0.232527187105684,81.5634146341463,127339142222.463,,,,
2003,4445658071221.86,34808.3909176613,35070,1242093.574,20.6982183101586,19.8588255304673,46.7993366500829,12.4037930008079,14.0580076695446,127718000,9.2,8.4,,0.213980948779682,81.76,139398295347.76,,,,
2004,4815148854362.11,37688.7223359406,38350,1266009.748,20.3121934575852,20.3812854522967,46.4895295773447,12.5841259009681,15.7435906438273,127761000,8.69360456470183,8.05085979508934,,0.0336622582725446,82.030243902439,150185444000.151,,,,
