year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,543300000000,3007.12344537862,,2890696.1,23.7314042976734,27.1848283952153,27.6352131951727,19.5403728915984,1.26126148522724,180671000,23.7,9.5,10825599,1.70199277744096,69.7707317073171,,,,,
1961,563300000000,3066.56286916615,,2880505.507,24.1039894894471,26.182790382279,28.0171926652163,19.804057299466,1.33475774086046,183691000,23.3,9.3,,1.65773003738953,70.2707317073171,,,,,
1962,605100000000,3243.84307754988,3280,2987207.873,24.2042469537513,25.6803430101513,28.3254529123663,19.960343688037,1.43006193185308,186538000,22.4,9.5,,1.53799735825387,70.119512195122,,,,,
1963,638600000000,3374.51517105082,3410,3119230.874,24.0814526874783,26.0762719282604,29.1279919857092,19.0093013755921,1.36539050879262,189242000,21.7,9.6,,1.43916476170683,69.9170731707317,,,,,
1964,685800000000,3573.94118474743,3610,3255995.306,24.1559530813815,26.8211008600078,29.1385526332261,18.3390082996382,1.40059474990951,191889000,21.1,9.4,,1.38904605518369,70.1658536585366,,,,,
1965,743700000000,3827.52710972039,3880,3390922.571,23.5600332351566,26.6774670998752,30.1361867124891,18.1337089660471,1.47222819936187,194303000,19.4,9.4,11354439,1.25017164562845,70.2146341463415,,,,,
1966,815000000000,4146.31664631665,4190,3561878.111,23.3852183966387,26.5812255026365,30.743309928658,17.9212136593069,1.43948624642336,196560000,18.4,9.5,,1.1548931907552,70.2121951219512,,,,,
1967,861700000000,4336.42658722171,4370,3695708.943,23.598201876303,28.1578461605281,29.0224331132731,18.005396542738,1.59371835614101,198712000,17.8,9.4,,1.08888120728762,70.5609756097561,,,,,
1968,942500000000,4695.92339043178,4740,3831354.94,24.1630231746618,27.1322125746659,30.0267360469651,17.4566886302523,1.63247613580925,200706000,17.6,9.8,,0.998461043585335,69.9512195121951,,,,,
1969,1019900000000,5032.14474262003,5070,4024748.853,24.4322249055669,25.5282680042108,31.3659050095981,17.5210848968976,1.7606108397129,202677000,17.9,9.5,,0.977242811872469,70.5073170731708,,,,,
1970,1075884000000,5246.88371730098,5250,4328904.501,24.5892844059248,22.8027217958748,32.4866521863471,19.0223184425542,1.81068382134833,205052000,18.4,9.5,11973787,1.16500266687286,70.8073170731707,,,,,
1971,1167770000000,5623.44397840712,5640,4356770.034,25.3394868111444,20.7833790801965,33.0000069961218,19.061400297102,2.12491323416879,207661000,17.2,9.3,,1.26433369185094,71.1073170731707,37.8830604553223,,83.9815979003906,47.3058700561523,
1972,1282449000000,6109.92586804894,6290,4564952.958,25.5030384427622,20.1286064250197,34.3064597005958,18.3905862394218,2.38232402036578,209896000,15.6,9.4,,1.07052275237269,71.1560975609756,37.7339782714844,,85.0001068115234,48.1778297424316,
1973,1428549000000,6741.33236436395,7310,4770194.948,25.7221138367395,20.097227108453,35.5516465709321,17.0482191021418,2.78434685172255,211909000,14.8,9.3,,0.954476728552297,71.3560975609756,,,,48.6620788574219,
1974,1548825000000,7242.44110467889,8000,4598487.673,25.9590790021569,19.4922218378979,36.0538357652253,16.687412838539,3.54621979172437,213854000,14.8,9.1,,0.913660196067714,71.9560975609756,42.8073501586914,,85.3396606445313,49.0346984863281,
1975,1688923000000,7820.06547114686,8530,4406329.539,27.4029442223483,17.3105670073502,36.2824542993408,17.03157541843,4.64652903858906,215973000,14.6,8.8,13991349,0.985986067347125,72.6048780487805,,81.5820236206055,85.3886108398438,51.0717582702637,
