year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,537777811.111111,59.7773265083934,,414.371,,,,,,8996351,51.293,32.396,46468,1.81607652146107,32.292,,,,,
1961,548888895.555556,59.8781528089471,,491.378,,,,,,9166764,51.395,31.898,,1.87652834529086,32.742,,,,,
1962,546666677.777778,58.4928738323479,,689.396,,,,,,9345868,51.488,31.414,,1.93499863593538,33.185,,,,,
1963,751111191.111111,78.7827580362892,,707.731,,,,,,9533954,51.572,30.938,,1.9925211444355,33.624,,,,,
1964,800000044.444444,82.2084438594401,,839.743,,,,,,9731361,51.644,30.467,,2.04942311526065,34.06,,,,,
1965,1006666637.77778,101.290471274167,,1008.425,,,,,,9938414,51.7,29.997,49535,2.1053687507614,34.495,,,,,
1966,1399999966.66667,137.899361896954,,1092.766,,,,,,10152331,51.736,29.526,,2.12958836997067,34.928,,,,,
1967,1673333417.77778,161.322000088481,,1283.45,,,,,,10372630,51.749,29.055,,2.14672719933648,35.361,,,,,
1968,1373333366.66667,129.506653844251,,1224.778,,,,,,10604346,51.738,28.583,,2.20933108041256,35.796,,,,,
1969,1408888922.22222,129.798541408375,,942.419,,,,,,10854428,51.704,28.106,,2.3309190240079,36.234,,,,,
1970,1748886595.55556,157.187422389233,,1672.152,,,,,,11126123,51.648,27.624,53051,2.47226594469772,36.678,18161689.9380098,,,,
1971,1831108971.11111,160.372835554154,,1895.839,,,,,,11417825,51.57,27.136,,2.58799639693922,37.128,18688866.53,1.16035997867584,,,
1972,1595555475.55556,136.117014381199,,1532.806,,,,,,11721940,51.476,26.642,,2.62865687132542,37.587,16311089.38,1.11717998981476,,,
1973,1733333264.44444,144.110318929266,,1639.149,,,,,,12027822,51.371,26.141,,2.57601667532953,38.056,23024416.272,1.42788004875183,,,
1974,2155555497.77778,174.94203831954,,1917.841,,,,,,12321541,51.258,25.63,,2.41265652382219,38.54,33405361.4428117,,,,
1975,2366666615.55556,187.975604013726,,2126.86,,,,,,12590286,51.143,25.108,57043,2.1576532787654,39.039,29013333.336,1.30332005023956,,,
1976,2555555566.66667,199.026172729051,,1987.514,,,,,,12840299,51.028,24.575,,1.96630203551861,39.556,39607770.2719302,,,,
1977,2953333417.77778,226.005343759305,,2390.884,,,,,,13067538,50.916,24.03,,1.75425549834716,40.092,42248887.772,,,,
1978,3300000108.88889,249.287386261794,,2159.863,,,,,,13237734,50.806,23.47,,1.29402482465926,40.65,51136157.4709825,,,,
1979,3697940409.61098,277.900741665078,,2240.537,,,,,,13306695,50.7,22.895,,0.519590420629167,41.234,52860413.046,1.7398099899292,,,
1980,3641723321.99546,274.880858701521,,1760.16,,,,,,13248370,50.596,22.298,59021,-0.439276603453853,41.853,59464851.952,1.84092998504639,,,
1981,3478787909.09091,266.493041808705,,1983.847,,,,,,13053954,50.493,21.673,,-1.47834496141634,42.513,60375754.932,1.90917003154755,,,
1982,,,,2101.191,,,,,,12749645,50.388,21.021,,-2.35876483031488,43.217,,1.72997999191284,,,
1983,,,,2522.896,,,,,,12389269,50.277,20.344,,-2.86727333719202,43.963,,,,,
1984,,,,2830.924,,,,,,12047115,50.157,19.65,,-2.80054825234308,44.747,,,,,
1985,,,,3509.319,,,,,,11783050,50.022,18.943,56118,-2.21631540604909,45.566,,,,,
1986,,,,3142.619,,,,,,11601041,49.863,18.232,,-1.55672226585984,46.417,,,,,
1987,,,,3124.284,,,,,,11502761,49.679,17.526,,-0.850774195564767,47.288,,,,,
1988,,,,2867.594,,,,,,11540888,49.478,16.839,,0.330911435004389,48.164,,,,,
1989,,,,2775.919,,,,,,11777609,49.269,16.183,,2.03039786249816,49.028,,,,,
1990,,,,2614.571,,,,,,12249114,49.08,15.577,57686,3.92534213599438,49.856,,,,,
1991,,,,2438.555,,,,,,12993657,48.945,15.036,,5.9007707466981,50.627,,,,,
1992,,,,1393.46,,,,,,13981231,48.879,14.562,,7.32544719810673,51.331,,,,,
1993,,,,1345.789,,,,,,15095099,48.882,14.152,,7.66543343078802,51.968,,,,,
1994,,,,1294.451,,,,,,16172719,48.937,13.799,,6.89556887495977,52.539,,,,,
1995,,,,1243.113,,,,,,17099541,49.014,13.489,71522,5.57258106931349,53.055,,,,,
1996,,,,1177.107,,,,,,17822884,49.072,13.204,,4.14316285332935,53.533,,,,,
1997,,,,1096.433,,,,,,18381605,49.067,12.923,,3.08671867160722,53.997,,,,,
1998,,,,1041.428,,,,,,18863999,48.96,12.628,,2.59048544915264,54.468,,,,,
1999,,,,821.408,,,,,,19403676,48.728,12.31,,2.82072418714503,54.959,,,,,
2000,,,,773.737,,,,,,20093756,48.36,11.959,75917,3.49465873827217,55.482,,,,,
2001,,,,817.741,,,,,,20966463,47.86,11.574,,4.25150411214678,56.044,,,,,
2002,4055179566.34981,184.494712122049,,1070.764,,,,,,21979923,47.252,11.167,,4.72052846249987,56.637,,,,,
2003,4515558808.10994,195.776630341551,,1195.442,,,,,,23064851,46.556,10.748,,4.81804111999567,57.25,,,,,
2004,5226778808.89209,216.708128851229,,949.753,,,,,,24118979,45.778,10.325,,4.46891839618783,57.875,,,,,
2005,6209137624.77181,247.664139959638,,1327.454,,,,,,25070798,44.91,9.906,87300,3.8704701590704,58.5,,,,,
2006,6971285594.68013,269.229693018123,,1650.15,,,,,,25893450,43.937,9.498,,3.22862984319083,59.11,,,,,
2007,9747879531.86311,366.230443242864,,2273.54,,,,,,26616792,42.86,9.108,,2.75522538418067,59.694,,,,,
2008,10109225813.6696,370.382293977374,,4206.049,,,,,,27294031,41.697,8.742,,2.5125738785155,60.243,,,,,
2009,12439087076.7667,444.18440407545,450,6769.282,,,,,,28004331,40.474,8.403,,2.5691143189101,60.754,344713151.613121,,,,
2010,15856574731.4411,550.514973976336,520,8463.436,,,,,,28803167,39.232,8.095,102246,2.81261695888044,61.226,448388745.723924,3.46196007728577,,,
2011,17804292964.1045,599.29762975711,540,12240.446,,,,,,29708599,38.016,7.816,,3.095118614892,61.666,505735687.655347,3.43784999847412,,,
2012,19907317065.6667,648.511069587633,640,10755.311,,,,,,30696958,36.863,7.563,,3.27270292128737,62.086,426770431.710475,2.52441000938416,,,
2013,20561069558.2152,647.966460473683,670,10014.577,,,,,,31731688,35.797,7.331,,3.3152241309788,62.494,573021087.651835,3.43437004089355,,,
2014,20484885119.7348,625.3395388285,640,9809.225,,,,,,32758020,34.836,7.118,,3.18320145523634,62.895,607320259.739302,3.67389988899231,,,
2015,19907111418.9938,590.076473832575,610,,,,,,,33736494,33.98,6.924,382365,2.94323418503806,63.288,518942904.308231,3.24201989173889,,,
2016,19046357714.4928,549.582759921642,570,,,,,,,34656032,33.214,6.747,,2.6891634730922,63.673,494499592.602003,4.20524978637695,,,
2017,19543976895.4248,550.068458763852,560,,,,,,,35530081,32.507,6.587,,2.49078956147291,64.047,507395511.259906,3.92674994468689,,64.6766967773438,67.4448013305664
2018,,,,,,,,,,,,,,,,,,,,
