year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,,,,84.341,,,,,,2755947,47.63,26.748,11356,2.06593604381094,36.977,,,,,
1961,,,,88.008,,,,,,2814096,47.52,26.367,,2.08799510516143,37.375,,,,,
1962,,,,106.343,,,,,,2874190,47.424,25.99,,2.11298221740721,37.774,,,,,
1963,,,,102.676,,,,,,2936443,47.34,25.616,,2.14280895058171,38.176,,,,,
1964,,,,135.679,,,,,,3001126,47.262,25.246,,2.17885666527364,38.579,,,,,
1965,,,,132.012,,,,,,3068437,47.186,24.879,12136,2.21807598505676,38.982,,,,,
1966,,,,139.346,,,,,,3143836,47.107,24.518,,2.42753989244833,39.384,,,,,
1967,,,,227.354,,,,,,3228495,47.017,24.161,,2.6572374019797,39.784,,,,,
1968,,,,154.014,,,,,,3313786,46.911,23.809,,2.60752580107035,40.179,,,,,
1969,,,,161.348,,,,,,3387632,46.779,23.46,,2.20398098492426,40.571,,,,,
1970,,,,216.353,,,,,,3444553,46.606,23.11,13041,1.66629905450348,40.958,,,,,
1971,,,,187.017,,,,,,3470324,46.376,22.756,,0.745381857648537,41.344,,,,,
1972,,,,234.688,,,,,,3475022,46.087,22.396,,0.135284857414542,41.728,,,,,
1973,,,,264.024,,,,,,3506008,45.751,22.029,,0.887725836709661,42.112,,,,,
1974,,,,330.03,,,,,,3627504,45.384,21.659,,3.40667401643359,42.495,,,,,
1975,,,,502.379,,,,,,3880320,45.008,21.287,14048,6.73728159977748,42.877,,,,,
1976,,,,480.377,,,,,,4289469,44.648,20.917,,10.0245324594066,43.259,,,,,
1977,,,,799.406,,,,,,4827362,44.334,20.554,,11.8137199631944,43.639,,,,,
1978,,,,557.384,,,,,,5417740,44.093,20.206,,11.5378605636726,44.012,,,,,
1979,,,,487.711,,,,,,5953615,43.947,19.88,,9.43198437671464,44.374,,,,,
1980,,,,814.074,,,,,,6359126,43.917,19.58,1605620,6.58923484341427,44.724,,,,,
1981,,,,275.025,,,,,,6604872,44.018,19.308,,3.79166120031711,45.065,,,,,
1982,,,,718.732,,,,,,6716448,44.239,19.066,,1.67518848349935,45.391,,,,,
1983,,,,935.085,,,,,,6740220,44.564,18.86,,0.353312197770226,45.693,,,,,
1984,,,,715.065,,,,,,6747932,44.98,18.698,,0.114352223201193,45.957,,,,,
1985,,,,858.078,,,,,,6791716,45.475,18.611,774569,0.646754666303813,46.142,,,,,
1986,,,,924.084,,,,,,6887372,46.033,18.635,,1.39859556782099,46.196,,,,,
1987,,,,993.757,,,,,,7018109,46.632,18.773,,1.88042186165377,46.111,,,,,
1988,,,,1008.425,,,,,,7165295,47.243,19.004,,2.07554242673789,45.908,,,,,
1989,,,,957.087,,,,,,7298417,47.838,19.29,,1.84082425258216,45.631,,,,,
1990,,,,733.4,,,,,,7397347,48.396,19.556,478294,1.3463947091212,45.375,,,,,
1991,,,,707.731,,,,,,7455936,48.905,19.71,,0.788907124018632,45.258,,,,,
1992,,,,682.062,,,,,,7488544,49.356,19.688,,0.436389245362514,45.359,,,,,
1993,,,,641.725,,,,,,7519811,49.739,19.46,,0.416661855809842,45.72,,,,,
1994,,,,630.724,,,,,,7583954,50.032,19.027,,0.849369486629584,46.335,,,,,
1995,,,,590.387,,,,,,7704894,50.205,18.429,19527,1.58210118435102,47.148,,,,,
1996,,,,568.385,,,,,,7892389,50.225,17.736,,2.4043165989323,48.065,,,,,
1997,,,,539.049,,,,,,8137475,50.092,17.042,,3.05810579670325,48.963,,,,,
1998,,,,513.38,,,,,,8422372,49.817,16.419,,3.44115634617926,49.751,,,,,
1999,,,,491.378,,,,,,8720231,49.423,15.901,,3.47542296005602,50.389,,,,,
2000,,,,480.377,,,,,,9011479,48.947,15.497,20087,3.28534806966502,50.867,,,,,
2001,,,,502.379,,,,,,9290823,48.436,15.195,,3.05279296911376,51.211,,,,,
2002,,,,586.72,,,,,,9564167,47.937,14.944,,2.8996371973401,51.49,,,,,
2003,,,,594.054,,,,,,9836397,47.484,14.707,,2.8065974718282,51.761,,,,,
2004,,,,594.054,,,,,,10116228,47.094,14.469,,2.80513816313457,52.042,,,,,
2005,,,,594.054,,,,,,10409925,46.767,14.223,20670,2.86188108834562,52.344,,,,,
2006,,,,594.054,,,,,,10718317,46.485,13.967,,2.91944690588218,52.666,,,,,
2007,,,,608.722,,,,,,11038596,46.212,13.708,,2.94437117998231,52.996,,,,,
2008,,,,601.388,,,,,,11369276,45.922,13.452,,2.95167705451534,53.323,,,,,
2009,,,,597.721,,,,,,11707990,45.609,13.197,,2.935688531866,53.652,,,,,
2010,,,,612.389,,,,,,12053223,45.277,12.941,23995,2.90605783404768,53.986,,,,,
2011,,,,605.055,,,,,,12404725,44.934,12.682,,2.87453553646803,54.332,,,,,
2012,,,,608.722,,,,,,12763776,44.596,12.421,,2.85337104868487,54.694,,,,,
2013,6481000000,493.514145869867,,608.722,,,,,,13132349,44.271,12.157,,2.84674166839281,55.072,,,,,
2014,6562001351.4788,485.602061068687,,608.722,,,,,,13513125,43.961,11.893,,2.85828597763128,55.467,,,,,
2015,6659000748.05936,478.784799023604,,,,,,,,13908129,43.661,11.629,25291,2.88120539751956,55.876,,,,,
2016,6761998533.93861,472.272693325142,,,,,,,,14317996,43.362,11.367,,2.90437182654536,56.293,,,,,
2017,7052000000,478.344174874274,,,,,,,,14742523,43.055,11.11,,2.92188314012906,56.714,,,,,
2018,,,,,,,,,,,,,,,,,,,,
