year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,423008385.744235,62.315122319985,,421.705,,,,,,6788214,49.557,20.704,771730,3.03775926993698,43.991,,,,,
1961,441524109.014675,63.0151613499201,,407.037,,,,,,7006633,49.427,20.209,,3.16693987236978,44.568,,,,,
1962,449012578.616352,62.0168215040622,,429.039,,,,,,7240174,49.319,19.719,,3.27879674365222,45.156,,,,,
1963,516147798.742138,68.9352511712817,,432.706,,,,,,7487429,49.231,19.237,,3.35802416678194,45.748,,,,,
1964,589056603.773585,76.0446097264213,,491.378,,,,,,7746198,49.16,18.772,,3.39766614202151,46.332,,,,,
1965,884873949.579832,110.410491012345,,627.057,,,,,,8014401,49.098,18.336,907723,3.40379060505725,46.891,,,,,
1966,925770308.123249,111.635754797097,,733.4,,,,,,8292776,49.039,17.942,,3.41447259757159,47.407,,,,,
1967,967647058.823529,112.770492537363,,810.407,,,,,,8580676,48.979,17.596,,3.41279239027292,47.865,,,,,
1968,1037815126.05042,116.964328096097,,982.756,,,,,,8872920,48.916,17.304,,3.34912434211905,48.258,,,,,
1969,1169047619.04762,127.585826244745,,1177.107,,,,,,9162833,48.851,17.069,,3.21514686487358,48.578,,,,,
1970,1260084033.61345,133.397787016205,,1444.798,,,,,,9446064,48.789,16.889,948875,3.04427364606369,48.827,34264924.3827821,,,,
1971,1417787114.84594,145.856884562654,,1441.131,,,,,,9720399,48.736,16.758,,2.86285202069406,49.01,37673394.948,3.16105008125305,,,
1972,1491596638.65546,149.3331890312,,1382.459,,,,,,9988380,48.699,16.668,,2.71957503360341,49.142,38685613.7402642,,,,
1973,1702521008.40336,165.995494962561,,1180.774,,,,,,10256429,48.684,16.605,,2.64823111280708,49.236,54022722.688,3.3502299785614,,,
1974,2100142653.35235,199.373388588828,,1195.442,,,,,,10533716,48.691,16.565,,2.66764319021288,49.301,60440012.846,3.39091992378235,,,
1975,2359555555.55556,217.929576051342,,1133.103,,,,,,10827147,48.721,16.538,774582,2.74754310259885,49.347,70670100,3.22102999687195,,,
1976,2447300000,219.689110240701,,990.09,,,,,,11139833,48.769,16.52,,2.84706519586493,49.384,61009325,2.67658996582031,,,
1977,2936470588.23529,255.993778694783,,806.74,,,,,,11470867,48.831,16.508,,2.92832734128987,49.412,78656334.4212674,,,,
1978,2420260869.56522,204.789135158294,,700.397,,,,,,11818307,48.9,16.507,,2.98392531324753,49.426,64877957.8993036,,,,
1979,2139025000,175.638811995917,,674.728,,,,,,12178544,48.974,16.516,,3.0025944997557,49.419,57212959.4839975,,,,
1980,1244610000,99.1757466807548,,627.057,,,,,,12549540,49.05,16.545,676609,3.00082966132237,49.374,33262917.90146,,,,
1981,1337300000,103.42446900897,,528.048,,,,,,12930209,49.129,16.603,,2.98823450933273,49.272,38196584.7963,,,,
1982,2177500000,163.435092663007,,546.383,,,,,,13323332,49.21,16.698,,2.99504273671469,49.096,45175200,2.5155200958252,,,
1983,2240333333.33333,163.108054681508,,616.056,,,,,,13735271,49.294,16.831,,3.04502659877466,48.842,35114133.328,1.68909001350403,,,
1984,3615647477.05434,255.081669865211,180,583.053,,,,,,14174470,49.38,17.001,,3.147540917627,48.512,67804302.063,2.42835998535156,,,
1985,3519666338.52454,240.305638932531,190,619.723,,,,,,14646624,49.472,17.205,633291,3.27674060767657,48.104,86666669.3,3.431960105896,,,
1986,3923232122.12784,258.881961503623,250,704.064,,,,,,15154521,49.573,17.439,,3.40890380589679,47.625,145120201.298186,,,,
1987,6269511614.66235,399.448706036583,310,770.07,,,,,,15695411,49.683,17.69,,3.50694733548976,47.097,311780591.221062,,,,
1988,6508931651.66667,400.24094965198,400,865.412,,,,,,16262533,49.798,17.941,,3.54954964101572,46.549,322596582.6,5.10365009307861,,,
1989,5276480985.99937,313.216953370151,400,803.073,,,,,,16846090,49.909,18.174,,3.52547093485782,46.012,180988761.253606,,,,
1990,4304398865.88268,246.827330742843,320,759.069,,,,,,17438907,50.003,18.374,558307,3.45851621050677,45.509,146840894.012612,,,,
1991,3321729057.12215,184.12685197123,240,781.071,,,,,,18040438,50.064,18.529,,3.39120492203837,45.058,113360375.670682,,,,
1992,2857457860.05088,153.191168405649,190,788.405,,,,,,18652889,50.082,18.63,,3.33852465404274,44.676,96233291.5652583,,,,
1993,3220439044.18949,167.074891755391,180,781.071,,,,,,19275422,50.051,18.664,,3.28297725950251,44.388,110165054.791575,,,,
1994,3990430446.71216,200.447247860402,180,707.731,,,,,,19907634,49.969,18.617,,3.22724634039438,44.223,76094723.0143672,,,,
1995,5755818947.42125,280.084547095769,230,938.752,,,,,,20550291,49.843,18.466,634620,3.17718251676331,44.22,108257229.974,,,,
1996,6044585326.938,285.093466932785,270,1059.763,,,,,,21202118,49.684,18.189,,3.1225980922181,44.415,116170933.258233,,,,
1997,6269333313.17108,286.716962253795,290,1107.434,,,,,,21865931,49.508,17.787,,3.08286810751964,44.811,121090382.078813,,,,
1998,6584815846.52754,291.986407221509,290,1265.115,,,,,,22551789,49.323,17.273,,3.0884634190075,45.397,127355453.021936,,,,
1999,5998563257.94659,257.747799883367,280,1312.786,,,,,,23272995,49.131,16.662,,3.14792779078949,46.16,134481988.573741,,,,
2000,6193246837.09687,257.630360929239,270,1430.13,,,,,,24039274,48.93,15.976,634703,3.23952340224939,47.077,155652277.951961,2.461669921875,,,
2001,5840503868.57245,234.984077523751,240,1510.804,,,,,,24854892,48.711,15.244,,3.33656847912566,48.12,162339067.984962,,,,
2002,6178563590.89254,240.242322857961,250,1558.475,,,,,,25718048,48.464,14.499,,3.41384079085586,49.242,192148045.988977,,,,
2003,6336696288.98214,237.999591696099,250,1598.812,,,,,,26624820,48.18,13.771,,3.46508611997747,50.394,216526451.767458,,,,
2004,7940362799.17997,288.023694894406,270,1738.158,,,,,,27568436,47.858,13.083,,3.4827631655344,51.538,293573982.408,4.95237016677856,,,
2005,9013834373.41246,315.788022726101,300,2170.864,,,,,,28543940,47.494,12.454,652968,3.47731592787521,52.64,314940001.140004,,,,
2006,9942597779.99265,336.459392347713,340,2537.564,,,,,,29550662,47.088,11.889,,3.46614919309937,53.681,329621727.697998,,,,
2007,12292813603.2327,401.850863088015,370,2889.596,,,,,,30590487,46.646,11.378,,3.45829319630115,54.66,385815933.92,,,,
2008,14239026629.639,449.692818269711,420,3190.29,,,,,,31663896,46.176,10.913,,3.44880260962437,55.574,419417098.710004,,,,
2009,18168902153.8798,554.404991041249,490,3380.974,,,,,,32771895,45.685,10.495,,3.43941839521389,56.409,500159730.84,,,,
2010,20186496527.1256,595.206173218473,540,3920.023,,,,,,33915133,45.179,10.125,529160,3.4290027639141,57.153,416831484.699,2.38900995254517,,,
2011,20176025256.9153,574.919576811032,600,4264.721,,,,,,35093648,44.666,9.802,,3.41588294750665,57.796,496611829.875,3.03766989707947,,,
2012,23114293416.3905,636.638204494567,610,4070.37,,,,,,36306796,44.15,9.523,,3.3984795944578,58.347,543721728.84,2.48313999176025,1.69885,90.2838973999023,73.5502014160156
2013,24599550623.7254,655.049531535843,620,4869.776,,,,,,37553726,43.636,9.28,,3.37676596051809,58.819,481634210.74,2.20876002311707,,93.9400024414063,87.3899993896484
2014,27291879819.3622,702.795104025366,660,5229.142,,,,,,38833338,43.129,9.066,,3.35065035255058,59.224,537133308.686519,2.2506799697876,,,
2015,27102650386.6012,675.121139677403,670,,,,,,,40144870,42.631,8.874,749471,3.32155568607893,59.575,535680200.179186,2.77376008033752,,,
2016,24133664284.5033,581.702772948812,630,,,,,,,41487965,42.144,8.697,,3.29087238084198,59.889,476212368.658365,2.55882000923157,,,
2017,25995031850.1658,606.468453487644,600,,,,,,,42862958,41.663,8.528,,3.26046178844302,60.182,510853205.042327,2.64100003242493,,89.1500015258789,
2018,,,,,,,,,,,,,,,,,,,,
