year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,15165569912.5199,210.027470429478,,46908.264,,,,,,72207554,42.336,13.315,1397119,2.89585689207079,54.241,,,,,
1961,15236854859.469,204.929301534773,,49203.806,,,,,,74351763,42.029,13.002,,2.92627183325542,54.754,,,,,
1962,19926293839.0163,260.225266127099,,53695.881,,,,,,76573248,41.611,12.68,,2.94403881300321,55.27,,,,,
1963,23021477292.2093,291.950589001802,,55617.389,,,,,,78854019,41.064,12.351,,2.93505093794609,55.785,,,,,
1964,21211892259.9904,261.331083055664,,56735.824,,,,,,81168654,40.392,12.017,,2.89308558476945,56.293,,,,,
1965,21790035117.19,260.964692542291,,56398.46,,,,,,83498020,39.61,11.681,1314922,2.82937808464308,56.794,,,,,
1966,27062716577.9111,315.27738237919,280,64304.512,,,,,,85837799,38.741,11.345,,2.76365382659683,57.289,,,,,
1967,30591834053.9653,346.880100387651,310,66193.017,,,,,,88191378,37.833,11.015,,2.70497458655833,57.776,,,,,
1968,33875881876.3672,374.083261758212,370,77421.371,,,,,,90557064,36.934,10.696,,2.64709903022541,58.254,,,,,
1969,37458898243.8609,403.065252307126,410,84315.331,,,,,,92935072,36.08,10.393,,2.59209053604285,58.717,,,,,
1970,42327600098.2412,444.026267601819,450,93761.523,,,,,,95326793,35.31,10.116,1231834,2.54098161081686,59.154,,,,,
1971,49204456699.9313,503.478766134957,500,102635.663,48.4505431675243,28.0388793596341,14.4882790165809,7.0440251572327,5.32386758183554,97728961,34.654,9.872,,2.48870280597981,59.557,,,,,
1972,58539008785.9047,584.550684766736,590,114362.729,50.2050688821117,27.9314333789042,12.3356819854874,7.05647281522768,5.82731319338679,100143598,34.112,9.661,,2.4407192991752,59.919,,,,,
1973,79279057730.3799,772.818791300358,760,132463.041,50.2275769745649,28.380187416332,12.0035698348951,6.56849620705042,6.07294136199861,102584278,33.675,9.484,,2.4079549172643,60.241,,,,,
1974,105136007528.354,1000.63425268713,980,143456.707,50.9565645783726,28.6640939321783,11.3884555382215,6.13350849823467,6.47448025144449,105069367,33.337,9.337,,2.39360850000699,60.527,,,,,
1975,123709376567.552,1149.58612059008,1180,151164.741,51.0148954233233,28.9032955159373,11.1754264104345,5.92729798564483,6.82490729612225,107612100,33.083,9.215,1170533,2.39123248093804,60.782,,,,,
1976,152678020452.571,1385.2985297387,1360,155154.437,49.8706745893044,30.6466270534778,10.5976931142957,5.76721426074799,7.45768507826983,110213082,32.894,9.11,,2.38825061700681,61.017,,,,,
1977,176171284311.567,1560.86306044542,1490,162961.48,47.2670342386495,32.5981893676401,11.0339663739705,5.670138179838,8.13593268357909,112867867,32.734,9.014,,2.38022148349614,61.244,,,,,
1978,200800891870.164,1737.36755211912,1670,176925.416,46.41094521147,32.479540201162,12.2696320359843,5.63503467233086,8.40394049970607,115577669,32.563,8.917,,2.37249468952616,61.476,,,,,
1979,224969488835.181,1901.00132504395,1960,188322.452,45.7787996698503,32.967810399717,11.7851668435326,5.78351609480014,8.96804894405729,118342626,32.351,8.814,,2.36412644643357,61.721,,,,,
