year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,59716467625.3148,89.5205415103584,,780726.302,,,,,,667070000,20.86,25.43,245684,1.83286768126466,43.725,,,,,
1961,50056868957.6732,75.8058379259965,,552066.85,,,,,,660330000,18.02,14.24,,-1.01552778731319,44.051,,,,,
1962,47209359005.6056,70.9094116671007,70,440359.029,,,,,,665770000,37.01,10.02,,0.820455548748518,44.783,,,,,
1963,50706799902.5103,74.3136434486145,80,436695.696,,,,,,682335000,43.37,10.04,,2.45764740395145,45.972,,,,,
1964,59708343488.5043,85.4985551596313,90,436923.05,,,,,,698355000,39.14,11.5,,2.32068298706855,47.592,,,,,
1965,70436266146.7219,98.4867777522206,100,475972.933,,,,,,715185000,37.88,9.5,260479,2.38136810251949,49.549,,,,,
1966,76720285969.6157,104.324566181147,110,522789.522,,,,,,735400000,35.05,8.83,,2.78733183821693,51.696,,,,,
1967,72881631326.6715,96.5895319417819,100,433234.048,,,,,,754550000,33.96,8.43,,2.5706976197388,53.847,,,,,
1968,70846535055.6503,91.4727183066072,90,468928.626,,,,,,774510000,35.59,8.21,,2.61090262648529,55.843,,,,,
1969,79705906247.4612,100.12990326618,110,577237.138,,,,,,796025000,34.11,8.03,,2.74000210569558,57.603,,,,,
1970,92602973434.0726,113.162991554686,120,771617.474,,,,,,818315000,33.43,7.6,280404,2.76167556645304,59.085,1491164289.92084,,,,
1971,99800958648.1436,118.654577785346,130,876633.02,5.82693515515849,48.7457861748081,17.3718548521476,21.5965751054257,0.659749351555249,841105000,30.65,7.32,,2.74691554961857,60.303,1397213421.072,1.38873994350433,,,
1972,113687586299.051,131.883561243868,130,931575.681,6.02860338958586,48.3767756835103,17.6876721555986,21.3298531339837,0.710858288887956,862030000,29.77,7.61,,2.45735692952286,61.344,1710000000,1.60476005077362,,,
1973,138544284708.957,157.090374298657,160,968542.708,6.29643344828384,47.6936607494156,18.469229522994,20.8311153285347,0.766039774688481,881940000,27.93,7.04,,2.28339536396383,62.281,2085000000,1.65082001686096,,,
1974,144182133387.722,160.140093727686,180,988014.478,6.6734717023931,48.2545083361688,17.9902461154588,20.3187025065215,0.844829715021483,900350000,24.82,7.34,,2.06595501335632,63.134,2304000000,1.76115000247955,,,
1975,163431551779.761,178.341819608096,200,1145607.47,6.40247160664147,48.0515695285099,18.5749400071894,20.4655636409564,0.800599642926353,916395000,23.01,7.32,298474,1.76639178162482,63.915,2608000000,1.70850002765656,,,
1976,153940455341.506,165.40554037242,190,1196193.735,6.24474936992439,48.8957341547653,18.5372911416037,19.9318584896854,0.78441340010355,930685000,19.91,7.25,,1.54733797287665,64.631,2618000000,1.81657004356384,,,
1977,174938098826.569,185.422832913673,190,1310310.775,6.11024998351032,49.153255062331,18.4684387573379,19.9830156322142,0.751708751920456,943455000,18.93,6.87,,1.36277947570678,65.278,2975000000,1.74953997135162,,,
1978,149540752829.268,156.396388520044,200,1462168.579,5.87703567627462,47.3683826852702,21.803058799516,18.9228593506247,0.649989416404471,956165000,18.25,6.25,,1.33818233834084,65.857,2700000000,1.95884001255035,,,
