year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,37029884761.6365,82.3837204599415,,120581.961,,,,,,449480608,42.1,22.422,9410535,1.94699298702626,41.174,,,,,
1961,39232436722.9835,85.567868545992,,130402.187,,,,,,458494963,41.857,21.876,,1.98565940998499,41.794,,,,,
1962,42161482867.6871,90.1170337517846,90,143467.708,,,,,,467852537,41.594,21.335,,2.02038485725902,42.421,,,,,
1963,48421924617.5489,101.401232303835,100,154083.673,,,,,,477527970,41.308,20.798,,2.04695797360852,43.057,,,,,
1964,56480291292.4818,115.860683236816,110,150647.694,,,,,,487484535,41.004,20.265,,2.0635832736278,43.702,,,,,
1965,59554856000.0288,119.659580078605,110,165972.087,,,,,,497702365,40.686,19.737,9350557,2.07436708539765,44.356,,,,,
1966,45865463131.5377,90.2575733688863,110,171765.947,,,,,,508161935,40.365,19.215,,2.0797928755492,45.02,,,,,
1967,50134943403.2483,96.6196395308998,110,172238.99,,,,,,518889779,40.048,18.702,,2.08913222755513,45.691,,,,,
1968,53085457141.236,100.16741681683,100,187336.029,,,,,,529967317,39.74,18.198,,2.11238498641924,46.366,,,,,
1969,58447996415.5959,107.936193040591,110,190724.337,,,,,,541505076,39.441,17.706,,2.15371017513253,47.043,,,,,
1970,62422484548.3796,112.761754805284,120,195143.072,,,,,,553578513,39.145,17.225,9181520,2.2051149969335,47.721,1530081516.15246,,,,
1971,67350989632.712,118.947436080763,120,205869.047,24.2638528258107,35.1361803215292,21.5457709518811,15.0875642229711,1.79207910285762,566224812,38.843,16.754,,2.25876033610158,48.399,1473118783.312,,,,
1972,71463195540.6261,123.337548421524,120,217849.136,23.4700382490438,35.4228644283893,23.0822354441139,14.035274118147,1.69621453534872,579411513,38.525,16.293,,2.30217620049008,49.075,1705740965.352,,,,
1973,85515271632.0276,144.193549549624,140,224343.393,22.8261447641334,34.6646811678987,23.8844865181088,14.1839068233793,1.95084294612172,593058926,38.19,15.843,,2.32808076759427,49.746,2042446641.264,,,,
1974,99525901497.5755,163.950020081246,170,231992.755,22.6620119972465,34.6887599567312,26.2857704789065,12.5036876782378,1.79050289360182,607050255,37.84,15.407,,2.3317816684618,50.405,2539604238.45937,,,,
1975,98472798813.7125,158.494328349377,190,252201.592,22.019066918436,35.55934232948,26.9147515313407,12.2092755492101,2.06440197921183,621301720,37.489,14.989,9011238,2.3205245400537,51.047,2159918573.01,,,,
1976,102717166924.066,161.562965811352,180,263785.645,20.3335056876939,35.4963805584281,28.3953809031369,12.3362633574629,2.14966530073499,635771734,37.154,14.595,,2.30227646572322,51.665,2448000000,,,,
1977,121487325381.668,186.764214053731,190,279051.366,20.553159096676,35.811553751163,27.4549606698807,12.6025543432293,2.09939287765441,650485030,36.85,14.227,,2.28786945089732,52.257,3025000000,,,,
1978,137300298593.834,206.310784943653,210,283096.067,21.6163201255394,35.9618150908853,25.0250642953664,13.5870275925199,2.56247323200098,665502284,36.577,13.886,,2.28237852144038,52.819,3425000000,,,,
1979,152991657454.179,224.685132222572,220,296891.321,21.0473474960845,33.1753744829525,26.9426930645356,13.6982450503996,2.39055106764798,680915804,36.332,13.573,,2.28965928410234,53.349,3978000000,,,,
1980,186325349548.793,267.407803145252,270,314016.211,20.9029845049996,31.020532783757,31.024349286314,12.6173574536295,2.39281076401946,696783517,36.096,13.287,8845466,2.30361073009057,53.842,4862000000,,,,
1981,193490614662.615,271.330419341597,300,338838.134,19.2697487158129,30.0916284881299,32.0942662779398,12.9980563654033,2.40385758632736,713118032,35.847,13.027,,2.31721795133846,54.295,5044000000,,,,
1982,200715150164.325,275.001981987564,290,349637.449,15.4754546341781,33.0622336445558,33.556719476886,12.277562705358,2.14779585917522,729868013,35.563,12.787,,2.32167641952132,54.711,6102117000,,,,
1983,218262278633.435,292.205035491978,280,378669.088,15.0609384521633,31.2522851919561,35.2742230347349,12.3491773308958,2.31710057303066,746949067,35.226,12.56,,2.31332857221415,55.099,6842957639,,,,
1984,212158239241.317,277.604934497603,280,388118.947,13.8156430796618,31.3612594570539,34.4848687138407,12.9366933689364,2.42990758453851,764245202,34.828,12.34,,2.28916832929049,55.468,5697000000,,,,
