year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,SE.PRE.ENRR,SE.PRM.NENR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GD.ZS
1960,2760747471.88624,100.767596362992,,3714.671,,,,,,27397175,42.737,13.18,484839,2.95183518087697,54.703,,,,,
1961,3034043574.06071,107.497932415054,,4147.377,,,,,,28224204,42.618,12.852,,2.97400018005688,55.235,,,,,
1962,3308912796.93487,113.782501575937,110,5034.791,,,,,,29081034,42.47,12.533,,2.99063014276708,55.747,,,,,
1963,3540403456.55305,118.143244658458,120,5570.173,,,,,,29967041,42.284,12.225,,3.00119352717549,56.233,,,,,
1964,3889129942.30769,125.937894852064,130,7480.68,,,,,,30881332,42.042,11.928,,3.00537145524844,56.694,,,,,
1965,4388937649.03846,137.918039918254,140,7451.344,,,,,,31822796,41.709,11.637,409954,3.00310293726503,57.136,,,,,
1966,5279230817.30769,161.005683636648,160,9479.195,,,,,,32789096,41.244,11.345,,2.99131327816291,57.567,,,,,
1967,5638461442.30769,166.924545927425,170,12167.106,,,,,,33778504,40.625,11.045,,2.9728602743275,58,,,,,
1968,6081009427.88461,174.78713003871,180,17099.221,,,,,,34790945,39.846,10.732,,2.95325279339303,58.444,,,,,
1969,6695336567.30769,186.880654141176,190,14561.657,,,,,,35826804,38.913,10.406,,2.93391765703292,58.905,,,,,
1970,7086538437.5,192.12566497039,210,15375.731,,,,,,36884913,37.847,10.071,347394,2.91062773079527,59.387,,,,,
1971,7375000024.03846,194.258253481034,210,19248.083,35.2216748768473,27.0320197044335,18.3497536945813,5.72660098522167,1.28660883082578,37964925,36.677,9.729,,2.88601015083996,59.888,3.88291001319885,,18.1247901916504,2.86099004745483,3.06622004508972
1972,8177884552.88461,209.356556474936,220,21836.985,34.3732895457033,26.4915161466886,20.9633278598796,5.85659551176793,1.03418932133831,39061994,35.451,9.389,,2.84872666532293,60.405,3.81837010383606,,19.2893009185791,3.04351997375488,3.02915000915527
1973,10838587357.7466,269.851774746843,260,24455.223,34.7658136166103,25.0603573153066,21.8734910671173,5.69773056494447,1.03592191219601,40164966,34.211,9.058,,2.7845149304542,60.93,4.19416999816895,75.5061798095703,20.7666206359863,3.06049990653992,2.55425000190735
1974,13703000530.0587,332.117174804359,330,24246.204,31.8798449612403,22.0445736434109,21.7054263565892,7.26744186046512,1.32608441313827,41259536,32.988,8.74,,2.68871387040041,61.46,4.44447994232178,75.9075088500977,22.5184993743896,3.07497000694275,2.14686989784241
1975,14882747955.0328,351.54751685883,380,24407.552,32.9233680227058,23.5572374645222,21.523178807947,6.62251655629139,1.68572993858309,42334954,31.802,8.443,344715,2.57308187009875,61.986,4.9350700378418,,23.5194797515869,3.62625002861023,2.38088011741638
1976,16985211146.0238,391.483010851696,420,28778.616,34.3840729987557,22.7706345914558,22.8535877229365,7.42430526752385,1.66064286186431,43386841,30.661,8.171,,2.45431118438751,62.496,5.56141996383667,,25.4131393432617,3.33540010452271,3.01672005653381
1977,19779315170.0237,445.319495605834,450,32159.59,33.2086761406133,22.1017202692595,25.8040388930441,6.8436798803291,1.40014880601399,44416010,29.557,7.923,,2.34437976622757,62.987,6.26599979400635,,27.2667102813721,4.29274988174438,3.21512007713318
1978,24006570178.1561,528.506257830343,530,35067.521,31.2333333333333,20.9666666666667,30.1333333333333,6.73333333333333,0.870762458918784,45423436,28.483,7.698,,2.24281932813428,63.464,6.77559995651245,,27.6704902648926,5.10727977752686,
1979,27371699082.7126,589.750884021184,610,36736.006,31.6708229426434,21.8516209476309,28.428927680798,7.04488778054863,1.27476976345589,46412307,27.447,7.49,,2.15364778222935,63.936,7.24476003646851,,27.5741901397705,8.51910972595215,2.84528994560242
1980,32353440726.8856,682.773455546258,710,40135.315,28.5206048028461,20.3379780610732,34.7761636525348,3.49836940409131,0.497581495229712,47385323,26.454,7.289,479387,2.07478782699964,64.433,8.35107040405273,,27.7779102325439,10.368709564209,2.57453989982605
1981,34846107862.3673,720.891765186285,760,38048.792,30.9984639016897,20.1228878648234,32.5652841781874,3.80952380952381,1.15003665302301,48337503,25.503,7.079,,1.989517959499,64.993,9.6956901550293,,28.6184406280518,7.66510009765625,2.88314008712769
1982,36589797857.4006,742.675258474351,760,37909.446,31.3303341902314,20.1799485861183,30.5912596401028,3.92030848329049,1.46697626955907,49267560,24.593,6.855,,1.90581332962066,65.635,10.1087398529053,,28.8828296661377,18.848690032959,3.27388000488281
1983,40042826244.2337,797.885216296889,760,42452.859,33.7091644984099,17.8086152067071,31.3096270598439,3.15119976871928,1.52351081246892,50186199,23.725,6.615,,1.84742162882047,66.353,11.1673002243042,,,21.3782196044922,3.46387004852295
1984,41797592963.4424,817.827461485297,790,45973.179,36.0357988944459,17.7678336404317,30.6922874440642,2.76388523295604,1.53844764624515,51108082,22.902,6.367,,1.82025765918377,67.128,12.8670301437378,,30.3542594909668,22.1465892791748,3.43722009658813
1985,38900692712.1496,747.494132268818,790,48672.091,34.3319067998098,17.3086067522587,34.7836424155968,2.9243937232525,1.28313083503349,52041469,22.133,6.128,406658,1.80982363585503,67.911,14.7156801223755,,30.6344604492188,20.6909809112549,
1986,43096746122.4614,813.200361496954,830,49702.518,35.154449054864,17.1277086214846,33.6560627017058,3.38865836791148,1.83811953372404,52996467,21.429,5.923,,1.81843694210337,68.642,18.853479385376,,30.152660369873,19.2355098724365,3.40797996520996
1987,50535438696.4094,936.458722373585,950,56944.843,35.3,17.26,35.1,3.18,1.22089781296075,53964406,20.792,5.77,,1.80994301296153,69.266,28.6749801635742,,29.2748908996582,,3.11581993103027
1988,61667199834.7428,1123.01181433561,1160,67003.424,35.4578882857643,17.3174575380844,35.3002976711609,3.62458413587813,0.992692387388711,54912334,20.217,5.682,,1.74133052237294,69.747,33.726001739502,,28.1704692840576,15.1360301971436,2.75342011451721
1989,72250877410.3183,1294.9321650239,1320,78891.838,36.6122695678453,18.3741311574494,33.665760048353,3.64158355998791,1.30821237129974,55795106,19.696,5.663,,1.59481731414645,70.073,40.8109893798828,,27.9099407196045,,2.5024299621582
1990,85343063965.9182,1508.28577397932,1490,90805.921,33.798986277661,18.2222771665224,38.0269501792558,3.01644208183954,0.885566914943727,56582821,19.217,5.707,528693,1.40192637901328,70.25,42.0704803466797,,28.5128593444824,15.8650398254395,
1991,98234695722.0341,1715.63812482354,1660,99782.737,31.4818929126861,18.2514996667407,41.2352810486559,2.71050877582759,0.748970088993753,57258401,18.761,5.804,,1.18689507890172,70.303,44.6477012634277,,30.2537307739258,,3.08859992027283
1992,111452869378.467,1926.98752499992,1880,109778.979,30.5561214096557,19.4744347117539,41.2507639030352,2.71949480545936,0.648695190081791,57837878,18.312,5.932,,1.00695157371341,70.283,47.1452789306641,,33.4324188232422,,3.04540991783142
1993,128889832382.818,2208.34529413955,2130,124949.358,31.9175853967106,21.2542924272547,39.607807699259,2.68389662027833,0.551998534321001,58364891,17.858,6.072,,0.907063778131613,70.241,52.3795700073242,,37.5485610961914,19.2003993988037,
