year,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,EN.ATM.CO2E.KT,EN.CO2.TRAN.ZS,EN.CO2.MANF.ZS,EN.CO2.ETOT.ZS,EN.CO2.BLDG.ZS,EG.USE.COMM.CL.ZS,SP.POP.TOTL,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SM.POP.TOTL,SP.POP.GROW,SP.DYN.LE00.IN,NY.ADJ.AEDU.CD,SE.XPD.TOTL.GD.ZS,SE.TER.CUAT.BA.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.MA.ZS
1960,13995067817.5092,509.424111754814,,16820.529,32.9159212880143,20.0954084675015,19.7376267143709,24.8062015503876,0.806109187326652,27472331,45.393,20.281,947635,2.4455837820211,45.369,,,,,
1961,8022222222.22222,285.012708941702,,17363.245,33.9427178549665,19.1956124314442,19.6831200487508,23.7050578915296,1.00268972278519,28146893,44.721,19.66,,2.42576227785059,46.093,,,,,
1962,8922222222.22222,309.446903352699,,21631.633,33.0275229357798,18.2946573124663,21.64058283864,23.2056125202375,0.815473685737917,28832805,44.044,19.037,,2.40768259100457,46.83,,,,,
1963,10355555555.5556,350.663222672222,,22669.394,31.7890586495811,20.2562838836866,16.2148841793987,27.0576638738295,1.48068137931212,29531342,43.376,18.424,,2.39383386306579,47.573,,,,,
1964,11177777777.7778,369.583786349006,,26336.394,32.0593525179856,17.2661870503597,21.6726618705036,24.4154676258993,1.10581508666177,30244232,42.732,17.831,,2.38533485765201,48.312,,,,,
1965,11944444444.4444,385.640975749156,,27388.823,33.1922099915326,16.5961049957663,22.8196443691787,22.3962743437765,1.40925023658866,30972965,42.132,17.267,926865,2.38092386037255,49.035,,,,,
1966,14122222222.2222,445.250491463183,,31547.201,32.8073394495413,16.4403669724771,24.8440366972477,20.954128440367,1.37322070634664,31717477,41.596,16.743,,2.37531266672989,49.733,,,,,
1967,15666666666.6667,482.378393972044,470,33523.714,30.4935767410412,17.8498985801217,22.7180527383367,23.2251521298174,1.34935000404001,32477961,41.125,16.257,,2.36938823486936,50.406,,,,,
1968,17500000000,526.213996739037,520,36314.301,29.5703982439636,17.2467858262778,23.2674819692694,24.2395735340232,1.70387888944433,33256432,40.71,15.805,,2.36864557737663,51.053,,,,,
1969,19466666666.6667,571.618273747463,560,38807.861,26.6818700114025,17.502850627138,26.7958950969213,23.6031927023945,1.7495392460005,34055361,40.341,15.386,,2.3739273133206,51.678,,,,,
1970,17086956521.7391,489.930775037911,560,42639.876,26.976622012083,18.360914105595,26.2936695560809,23.377987916995,1.55584818920711,34876267,39.992,14.993,376394,2.3819104094435,52.286,316214835.022854,,,,
1971,16256619963.7997,455.105304142971,530,47733.339,26.575605080278,19.7459861011263,24.6585190510424,24.0594296669063,1.34204774567948,35720568,39.632,14.616,,2.39200881069142,52.887,300612506.236143,,,,
1972,20431095406.3604,558.421563984708,560,53857.229,25.0560652395515,22.8134556574924,22.5891946992864,25.0152905198777,1.42011568386605,36587225,39.233,14.246,,2.39724784238987,53.492,377608319.880149,,,,
1973,25724381625.4417,686.490634373203,640,59486.074,26.218009478673,21.8578199052133,23.7914691943128,23.4881516587678,1.1180967551088,37472298,38.775,13.874,,2.39028042267592,54.109,475754949.984618,,,,
1974,35599913836.4328,927.800110414548,860,61136.224,25.9674502712477,21.121157323689,25.2260397830018,23.001808318264,1.34411981109856,38370241,38.252,13.497,,2.36802451994973,54.741,658513633.08288,,,,
1975,44633707242.7642,1136.37669545234,1110,65697.972,27.4526245178601,22.4551400301862,24.6184806305551,20.576890826765,2.10579056900843,39277211,37.67,13.113,144529,2.33622927226454,55.387,827484291.403394,,,,
1976,51280134554.2889,1275.95816118014,1310,73721.368,26.4736763161842,23.0988450577471,24.268786560672,21.1639418029099,2.67164157575116,40189511,37.052,12.722,,2.2961563270877,56.046,949314162.524419,,,,
1977,58676813687.3681,1427.37325335218,1410,81572.415,27.7623926890058,22.306840210468,24.1761284962614,20.0636942675159,2.49069585817481,41108248,36.422,12.332,,2.26027414522882,56.709,1084892058.19472,,,,
1978,65147022485.7919,1549.64612780186,1520,77256.356,26.6602765986581,27.0162946734219,23.9764480350541,18.6772559222237,2.71387940589663,42039935,35.795,11.948,,2.24112172274237,57.37,2262993163.655,4.34774017333984,,,
1979,89394085658.2038,2079.22278390494,1820,75576.87,25.8436944937833,27.9307282415631,25.0296033155713,17.8063943161634,3.12447424879047,42993991,35.168,11.572,,2.24403618813593,58.023,2297975995.12,2.91519999504089,,,
1980,68789289565.7434,1564.24897993025,1860,75763.887,23.4027680693415,29.0507479379281,23.1651055501188,20.424996504963,3.29475011156834,43975921,34.522,11.204,784193,2.25818723799394,58.667,1257737320.93068,,,,
